replay_id,related_candidate_id,symbol,date_window,direction,side,setup_type,replay_status,replay_outcome,classification,manual_review_status,target_hit_after_confirmation,invalidation_hit_after_confirmation,evidence_type,real_market_evidence,paper_readiness_impact,next_action
HR-001,PTC-001,AAPL,2023-05-15 to 2023-05-18,long,bullish,close_above_resistance,VERIFIED,insufficient,watch_no_trigger,pending,false,false,real_market_replay,true,keep as dry-run/watch,keep as dry-run/watch
HR-002,PTC-002,SPY,2023-05-15 to 2023-05-17,long,bullish,close_above_resistance,VERIFIED,insufficient,watch_no_trigger,pending,false,false,real_market_replay,true,keep as dry-run/watch,keep as dry-run/watch
HR-003,PTC-003,NVDA,2023-05-15 to 2023-05-18,long,bullish,close_above_resistance,VERIFIED,insufficient,insufficient,pending,false,false,real_market_replay,true,insufficient for promotion; keep dry-run,perform manual visual review
HR-004,PTC-004,NVDA,2023-05-18 to 2023-05-18,long,bullish,close_above_resistance,VERIFIED,confirmed,confirmed_breakout,completed,true,false,real_market_replay,true,potentially promotable after manual gates,manual visual review
HR-005,PTC-005,AVGO,2023-05-18 to 2023-05-18,long,bullish,close_above_resistance,VERIFIED,confirmed,confirmed_breakout,completed,true,false,real_market_replay,true,potentially promotable after manual gates,manual visual review
HR-006,PTC-006,MSFT,2023-05-16 to 2023-05-16,long,bullish,close_above_resistance,VERIFIED,insufficient,confirmed_breakout_no_target_hit,completed,false,false,real_market_replay,true,manual review pending; target not fully met,manual visual review
HR-007,PTC-007,META,2023-05-16 to 2023-05-16,short,bearish,close_below_support,VERIFIED,insufficient,confirmed_breakdown_no_target_hit,completed,false,false,real_market_replay,true,manual review pending; target not fully met,manual visual review
HR-008,PTC-008,AVGO,2023-05-16 to 2023-05-16,short,bearish,close_below_support,CONTRADICTED,contradicted,failed_breakdown_reclaim,completed,false,true,real_market_replay,true,promotion blocked,do not promote short breakdown candidate
HR-009,PTC-009,IWM,2023-05-16 to 2023-05-16,short,bearish,close_below_support,VERIFIED,confirmed,confirmed_breakdown,completed,true,false,real_market_replay,true,potentially promotable after manual gates,manual visual review
HR-010,PTC-010,META,2023-10-30 to 2023-10-30,long,bullish,close_above_resistance,NOT_VERIFIED,insufficient,candidate_for_manual_review,pending,false,false,real_market_replay,true,manual review pending,perform manual visual review
HR-011,PTC-011,META,2023-11-29 to 2023-11-29,long,bullish,close_above_resistance,NOT_VERIFIED,insufficient,candidate_for_manual_review,pending,false,false,real_market_replay,true,manual review pending,perform manual visual review
HR-012,PTC-012,META,2023-12-29 to 2023-12-29,long,bullish,close_above_resistance,NOT_VERIFIED,insufficient,candidate_for_manual_review,pending,false,false,real_market_replay,true,manual review pending,perform manual visual review
HR-013,PTC-013,META,2023-10-30 to 2023-10-30,short,bearish,close_below_support,NOT_VERIFIED,insufficient,candidate_for_manual_review,pending,false,false,real_market_replay,true,manual review pending,perform manual visual review
HR-014,PTC-014,META,2023-11-29 to 2023-11-29,short,bearish,close_below_support,NOT_VERIFIED,insufficient,candidate_for_manual_review,pending,false,false,real_market_replay,true,manual review pending,perform manual visual review
HR-015,PTC-015,META,2023-12-29 to 2023-12-29,short,bearish,close_below_support,NOT_VERIFIED,insufficient,candidate_for_manual_review,pending,false,false,real_market_replay,true,manual review pending,perform manual visual review
HR-016,PTC-016,META,2023-06-28 to 2023-06-28,long,bullish,close_above_resistance,VERIFIED,ambiguous,ambiguous,completed,false,false,real_market_replay,true,paper review blocked until clarified,perform manual visual review
HR-017,PTC-017,SPY,2023-08-09 to 2023-08-09,long,bullish,close_above_resistance,VERIFIED,confirmed,confirmed_breakout,completed,true,false,real_market_replay,true,potentially promotable after manual gates,manual visual review
HR-018,PTC-018,META,2023-07-19 to 2023-07-19,short,bearish,close_below_support,VERIFIED,contradicted,failed_breakdown_reclaim,completed,false,true,real_market_replay,true,promotion blocked,do not promote short breakdown candidate
HR-019,PTC-019,SPY,2023-09-19 to 2023-09-19,short,bearish,close_below_support,VERIFIED,confirmed,confirmed_breakdown,completed,true,false,real_market_replay,true,potentially promotable after manual gates,manual visual review
HR-020,PTC-020,AVGO,2023-05-30 to 2023-05-30,long,bullish,close_above_resistance,NOT_VERIFIED,insufficient,candidate_for_manual_review,pending,false,false,real_market_replay,true,manual review pending,perform manual visual review
HR-021,PTC-021,GOOGL,2023-07-25 to 2023-07-25,long,bullish,close_above_resistance,VERIFIED,confirmed,confirmed_breakout,completed,true,false,real_market_replay,true,potentially promotable after manual gates,manual visual review
HR-022,PTC-022,AMZN,2023-08-03 to 2023-08-03,long,bullish,close_above_resistance,VERIFIED,confirmed,confirmed_breakout,completed,true,false,real_market_replay,true,potentially promotable after manual gates,manual visual review
HR-023,PTC-023,TSLA,2023-09-11 to 2023-09-11,long,bullish,close_above_resistance,NOT_VERIFIED,insufficient,candidate_for_manual_review,pending,false,false,real_market_replay,true,manual review pending,perform manual visual review
HR-024,PTC-024,MSFT,2023-10-24 to 2023-10-24,long,bullish,close_above_resistance,VERIFIED,confirmed,confirmed_breakout,completed,true,false,real_market_replay,true,potentially promotable after manual gates,manual visual review
HR-025,PTC-025,AAPL,2023-12-05 to 2023-12-05,long,bullish,close_above_resistance,NOT_VERIFIED,insufficient,candidate_for_manual_review,pending,false,false,real_market_replay,true,manual review pending,perform manual visual review
HR-026,PTC-026,SPY,2023-07-06 to 2023-07-06,short,bearish,close_below_support,NOT_VERIFIED,insufficient,candidate_for_manual_review,pending,false,false,real_market_replay,true,manual review pending,perform manual visual review
HR-027,PTC-027,IWM,2023-08-08 to 2023-08-08,short,bearish,close_below_support,NOT_VERIFIED,insufficient,candidate_for_manual_review,pending,false,false,real_market_replay,true,manual review pending,perform manual visual review
HR-028,PTC-028,AAPL,2023-09-07 to 2023-09-07,short,bearish,close_below_support,NOT_VERIFIED,insufficient,candidate_for_manual_review,pending,false,false,real_market_replay,true,manual review pending,perform manual visual review
HR-029,PTC-029,QQQ,2023-10-06 to 2023-10-06,short,bearish,close_below_support,NOT_VERIFIED,insufficient,candidate_for_manual_review,pending,false,false,real_market_replay,true,manual review pending,perform manual visual review
HR-030,PTC-030,NVDA,2023-10-17 to 2023-10-17,short,bearish,close_below_support,NOT_VERIFIED,insufficient,candidate_for_manual_review,pending,false,false,real_market_replay,true,manual review pending,perform manual visual review
HR-031,PTC-031,META,2023-12-04 to 2023-12-04,short,bearish,close_below_support,NOT_VERIFIED,insufficient,candidate_for_manual_review,pending,false,false,real_market_replay,true,manual review pending,perform manual visual review
HR-032,PTC-032,TSLA,2023-07-20 to 2023-07-20,short,bearish,close_below_support,VERIFIED,confirmed,confirmed_breakdown,completed,true,false,real_market_replay,true,potentially promotable after manual gates,manual visual review
HR-033,PTC-033,NVDA,2023-12-19 to 2023-12-19,short,bearish,close_below_support,VERIFIED,insufficient,confirmed_breakdown_no_target_hit,completed,false,false,real_market_replay,true,manual review pending; target not fully met,manual visual review
HR-034,PTC-034,AVGO,2023-12-19 to 2023-12-19,short,bearish,close_below_support,VERIFIED,confirmed,confirmed_breakdown,completed,true,false,real_market_replay,true,potentially promotable after manual gates,manual visual review
HR-035,PTC-035,META,2023-12-28 to 2023-12-28,short,bearish,close_below_support,VERIFIED,confirmed,confirmed_breakdown,completed,true,false,real_market_replay,true,potentially promotable after manual gates,manual visual review
