journal_id,candidate_id,replay_id,symbol,side,setup_type,source_watch_journal_id,source_plan_status,source_plan_snapshot_source,execution_id,execution_status,manual_approval_required,manual_approval_granted,broker_action_allowed,fill_status,fill_price,target_price,invalidation_level,reconciliation_status,duplicate_of,malformed_reason,notes,created_at_utc,snapshot_source,lineage_id,offline_only_boundary,simulated_only_boundary
EJ-001,PTC-004,HR-004,NVDA,bullish,close_above_resistance,PWJ-001,DRAFT,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,SIM-PTC-004-C23B27ED7A8D,SIMULATED_SUBMITTED,true,true,false,NOT_FILLED,0.00,309.05,298.46,OPEN,,,offline simulation only; submitted without fills,2026-05-24T22:25:49+00:00,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,EJ-21DCEB78C007E343,offline-only,simulated-only
EJ-002,PTC-005,HR-005,AVGO,bullish,close_above_resistance,PWJ-002,DRAFT,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,SIM-PTC-005-12E7119C5416,SIMULATED_SUBMITTED,true,true,false,NOT_FILLED,0.00,664.58,657.37,OPEN,,,offline simulation only; submitted without fills,2026-05-24T12:33:32+00:00,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,EJ-F7962B2FE1DD7492,offline-only,simulated-only
EJ-003,PTC-009,HR-009,IWM,bearish,close_below_support,PWJ-003,DRAFT,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,SIM-PTC-009-F3865F9B0158,SIMULATED_SUBMITTED,true,true,false,NOT_FILLED,0.00,172.66,175.75,OPEN,,,offline simulation only; submitted without fills,2026-05-24T20:16:27+00:00,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,EJ-458F5F36A9EAAFE9,offline-only,simulated-only
EJ-004,PTC-017,HR-017,SPY,bullish,close_above_resistance,PWJ-004,DRAFT,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,SIM-PTC-017-E6403BC4B610,SIMULATED_SUBMITTED,true,true,false,NOT_FILLED,0.00,447.37,444.91,OPEN,,,offline simulation only; submitted without fills,2026-05-24T07:01:24+00:00,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,EJ-61F788ED85CB5A2B,offline-only,simulated-only
EJ-005,PTC-019,HR-019,SPY,bearish,close_below_support,PWJ-005,DRAFT,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,SIM-PTC-019-61A8328D9BFE,SIMULATED_SUBMITTED,true,true,false,NOT_FILLED,0.00,442.18,444.18,OPEN,,,offline simulation only; submitted without fills,2026-05-24T02:42:21+00:00,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,EJ-8EF84B166C66BED5,offline-only,simulated-only
EJ-006,PTC-021,HR-021,GOOGL,bullish,close_above_resistance,PWJ-006,DRAFT,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,SIM-PTC-021-D7E527E56FF5,SIMULATED_SUBMITTED,true,true,false,NOT_FILLED,0.00,125.12,120.93,OPEN,,,offline simulation only; submitted without fills,2026-05-24T16:16:37+00:00,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,EJ-E5003EDA50BE5C73,offline-only,simulated-only
EJ-007,PTC-022,HR-022,AMZN,bullish,close_above_resistance,PWJ-007,DRAFT,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,SIM-PTC-022-F9A85200245A,SIMULATED_SUBMITTED,true,true,false,NOT_FILLED,0.00,131.82,126.34,OPEN,,,offline simulation only; submitted without fills,2026-05-24T16:17:04+00:00,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,EJ-25B679A611DFC2C2,offline-only,simulated-only
EJ-008,PTC-024,HR-024,MSFT,bullish,close_above_resistance,PWJ-008,DRAFT,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,SIM-PTC-024-6D4C2FE390BA,SIMULATED_SUBMITTED,true,true,false,NOT_FILLED,0.00,333.80,327.50,OPEN,,,offline simulation only; submitted without fills,2026-05-24T11:45:39+00:00,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,EJ-ADA715BE075810CA,offline-only,simulated-only
EJ-009,PTC-032,HR-032,TSLA,bearish,close_below_support,PWJ-009,DRAFT,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,SIM-PTC-032-CB80AB5A2D91,SIMULATED_SUBMITTED,true,true,false,NOT_FILLED,0.00,269.90,301.64,OPEN,,,offline simulation only; submitted without fills,2026-05-24T06:55:22+00:00,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,EJ-4D027268BE612B48,offline-only,simulated-only
EJ-010,PTC-034,HR-034,AVGO,bearish,close_below_support,PWJ-010,DRAFT,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,SIM-PTC-034-ADC305CD8B78,SIMULATED_SUBMITTED,true,true,false,NOT_FILLED,0.00,1137.16,1143.91,OPEN,,,offline simulation only; submitted without fills,2026-05-24T04:42:53+00:00,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,EJ-0BC2A2169B2787BE,offline-only,simulated-only
EJ-011,PTC-035,HR-035,META,bearish,close_below_support,PWJ-011,DRAFT,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,SIM-PTC-035-37987FCA4893,SIMULATED_SUBMITTED,true,true,false,NOT_FILLED,0.00,359.58,361.58,OPEN,,,offline simulation only; submitted without fills,2026-05-24T14:44:26+00:00,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,EJ-41C1569180EE4116,offline-only,simulated-only
