candidate_id,symbol,side,simulated_order_id,execution_status,submission_timestamp_utc,fill_status,fill_price,notes,broker_action_allowed,risk_gate_status,risk_gate_reason,snapshot_source,offline_only_boundary,simulated_only_boundary
PTC-004,NVDA,bullish,SIM-PTC-004-C23B27ED7A8D,SIMULATED_SUBMITTED,2026-05-24T22:25:49+00:00,NOT_FILLED,0.00,offline simulation only; submitted without fills,false,PASSED,plan passed Phase 3 risk gate,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,offline-only,simulated-only
PTC-005,AVGO,bullish,SIM-PTC-005-12E7119C5416,SIMULATED_SUBMITTED,2026-05-24T12:33:32+00:00,NOT_FILLED,0.00,offline simulation only; submitted without fills,false,PASSED,plan passed Phase 3 risk gate,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,offline-only,simulated-only
PTC-009,IWM,bearish,SIM-PTC-009-F3865F9B0158,SIMULATED_SUBMITTED,2026-05-24T20:16:27+00:00,NOT_FILLED,0.00,offline simulation only; submitted without fills,false,PASSED,plan passed Phase 3 risk gate,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,offline-only,simulated-only
PTC-017,SPY,bullish,SIM-PTC-017-E6403BC4B610,SIMULATED_SUBMITTED,2026-05-24T07:01:24+00:00,NOT_FILLED,0.00,offline simulation only; submitted without fills,false,PASSED,plan passed Phase 3 risk gate,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,offline-only,simulated-only
PTC-019,SPY,bearish,SIM-PTC-019-61A8328D9BFE,SIMULATED_SUBMITTED,2026-05-24T02:42:21+00:00,NOT_FILLED,0.00,offline simulation only; submitted without fills,false,PASSED,plan passed Phase 3 risk gate,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,offline-only,simulated-only
PTC-021,GOOGL,bullish,SIM-PTC-021-D7E527E56FF5,SIMULATED_SUBMITTED,2026-05-24T16:16:37+00:00,NOT_FILLED,0.00,offline simulation only; submitted without fills,false,PASSED,plan passed Phase 3 risk gate,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,offline-only,simulated-only
PTC-022,AMZN,bullish,SIM-PTC-022-F9A85200245A,SIMULATED_SUBMITTED,2026-05-24T16:17:04+00:00,NOT_FILLED,0.00,offline simulation only; submitted without fills,false,PASSED,plan passed Phase 3 risk gate,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,offline-only,simulated-only
PTC-024,MSFT,bullish,SIM-PTC-024-6D4C2FE390BA,SIMULATED_SUBMITTED,2026-05-24T11:45:39+00:00,NOT_FILLED,0.00,offline simulation only; submitted without fills,false,PASSED,plan passed Phase 3 risk gate,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,offline-only,simulated-only
PTC-032,TSLA,bearish,SIM-PTC-032-CB80AB5A2D91,SIMULATED_SUBMITTED,2026-05-24T06:55:22+00:00,NOT_FILLED,0.00,offline simulation only; submitted without fills,false,PASSED,plan passed Phase 3 risk gate,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,offline-only,simulated-only
PTC-034,AVGO,bearish,SIM-PTC-034-ADC305CD8B78,SIMULATED_SUBMITTED,2026-05-24T04:42:53+00:00,NOT_FILLED,0.00,offline simulation only; submitted without fills,false,PASSED,plan passed Phase 3 risk gate,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,offline-only,simulated-only
PTC-035,META,bearish,SIM-PTC-035-37987FCA4893,SIMULATED_SUBMITTED,2026-05-24T14:44:26+00:00,NOT_FILLED,0.00,offline simulation only; submitted without fills,false,PASSED,plan passed Phase 3 risk gate,data_refs/strategy_lab/snapshots/strategy_lab_snapshot_v1,offline-only,simulated-only
